Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-03-03,ROU,Romania,Bacău,46.42171,26.773519,20550,,,20550,,,True,True,RO211
2021-03-03,ROU,Romania,Bihor,46.942178,22.210795,21585,,,21585,,,True,True,RO111
2021-03-03,ROU,Romania,Bistrița-Năsăud,47.237306,24.522034,8908,,,8908,,,True,True,RO112
2021-03-03,ROU,Romania,Botoșani,47.85927,26.763139,11105,,,11105,,,True,True,RO212
2021-03-03,ROU,Romania,Brăila,45.0878,27.673222,9893,,,9893,,,True,True,RO221
2021-03-03,ROU,Romania,Brașov,45.765228,25.302188,32630,,,32630,,,True,True,RO122
2021-03-03,ROU,Romania,București,44.442674,26.08861,130882,,,130882,,,True,True,RO321
2021-03-03,ROU,Romania,Buzău,45.245475,26.750309,9631,,,9631,,,True,True,RO222
2021-03-03,ROU,Romania,Călărași,44.313456,27.020712,7687,,,7687,,,True,True,RO312
2021-03-03,ROU,Romania,Caraș-Severin,45.150492,22.042977,8404,,,8404,,,True,True,RO422
2021-03-03,ROU,Romania,Cluj,46.812237,23.53594,40863,,,40863,,,True,True,RO113
2021-03-03,ROU,Romania,Costanza,44.244926,28.247767,32511,,,32511,,,True,True,RO223
2021-03-03,ROU,Romania,Covasna,45.938093,25.990767,6008,,,6008,,,True,True,RO123
2021-03-03,ROU,Romania,Dâmbovița,44.864944,25.496775,18029,,,18029,,,True,True,RO313
2021-03-03,ROU,Romania,Dolj,44.140792,23.613526,22760,,,22760,,,True,True,RO411
2021-03-03,ROU,Romania,Galați,45.792748,27.75769,20617,,,20617,,,True,True,RO224
2021-03-03,ROU,Romania,Giurgiu,44.144127,25.881413,7957,,,7957,,,True,True,RO314
2021-03-03,ROU,Romania,Gorj,45.004246,23.322863,7083,,,7083,,,True,True,RO412
