Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-02-29,GBR,United Kingdom,South East,51.291417,-0.521902,6,,,,,,False,True
2020-02-29,GBR,United Kingdom,South West,51.239761,-2.54375,1,,,,,,False,True
2020-02-29,GBR,United Kingdom,Wales,52.302413,-3.738347,1,,,,,,False,True
2020-03-01,DEU,Germany,Baden-Württemberg,48.537648,9.049199,15,,,,,,True,True
2020-03-01,DEU,Germany,Bayern,48.947574,11.419913,23,,,,,,True,True
2020-03-01,DEU,Germany,Bremen,53.108678,8.785951,1,,,,,,True,True
2020-03-01,DEU,Germany,Hamburg,53.54464,10.027798,1,,,,,,True,True
2020-03-01,DEU,Germany,Hessen,50.603242,9.031057,8,,,,,,True,True
2020-03-01,DEU,Germany,Niedersachsen,52.765527,9.162019,1,,,,,,True,True
2020-03-01,DEU,Germany,Nordrhein-Westfalen,51.479706,7.56208,74,,,,,,True,True
2020-03-01,DEU,Germany,Repatriierte,,,2,,,,,,True,True
2020-03-01,DEU,Germany,Rheinland-Pfalz,49.50932,7.909356,2,,,,,,True,True
2020-03-01,DEU,Germany,Schleswig Holstein,54.0295,9.705555,2,,,,,,True,True
2020-03-01,ITA,Italy,Abruzzo,42.228034,13.855137,5,0,0,5,3,0,True,True
2020-03-01,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,True,True
2020-03-01,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,True,True
2020-03-01,ITA,Italy,Campania,41.059945,14.785097,17,0,0,17,4,0,True,True
2020-03-01,ITA,Italy,Emilia-Romagna,44.536563,11.019909,285,8,0,277,140,13,True,True
2020-03-01,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,6,0,0,6,0,0,True,True
2020-03-01,ITA,Italy,Lazio,41.981132,12.767224,6,0,3,3,3,0,True,True
2020-03-01,ITA,Italy,Liguria,44.144781,8.140492,25,0,4,21,13,1,True,True
2020-03-01,ITA,Italy,Lombardia,45.622479,9.770824,984,24,73,887,512,106,True,True
2020-03-01,ITA,Italy,Marche,43.366624,13.106678,25,0,0,25,17,5,True,True
2020-03-01,ITA,Italy,Piemonte,45.060965,7.926836,49,0,0,49,13,2,True,True
2020-03-01,ITA,Italy,Puglia,40.984631,16.620464,3,0,0,3,1,0,True,True
2020-03-01,ITA,Italy,Sicilia,37.587635,14.155497,9,0,2,7,1,0,True,True
2020-03-01,ITA,Italy,Toscana,43.459993,11.136697,13,0,1,12,7,0,True,True
2020-03-01,ITA,Italy,Umbria,42.966781,12.49094,2,0,0,2,0,0,True,True
2020-03-01,ITA,Italy,Veneto,45.664735,11.84235,263,2,0,261,64,13,True,True
2020-03-01,NLD,Netherlands,Drenthe,52.863149,6.623756,1,,,,,,True,True
2020-03-01,NLD,Netherlands,North Brabant,51.527534,5.590194,4,,,,,,True,True
2020-03-01,NLD,Netherlands,North Holland,52.551824,4.876581,2,,,,,,True,True
2020-03-01,NLD,Netherlands,South Holland,51.968696,4.541274,2,,,,,,True,True
2020-03-01,ESP,Spain,Andalucía,37.46363,-4.573552,12,,,,,,True,True
2020-03-01,ESP,Spain,Canarias,28.291062,-16.55631,6,,,,,,True,True
2020-03-01,ESP,Spain,Cantabria,43.196326,-4.034401,1,,,,,,True,True
2020-03-01,ESP,Spain,Castilla y León,41.751205,-4.788185,3,,,,,,True,True
2020-03-01,ESP,Spain,Castilla-La Mancha,39.254442,-3.160863,1,,,,,,True,True
2020-03-01,ESP,Spain,Cataluña,41.798,1.528534,12,,,,,,True,True
2020-03-01,ESP,Spain,Comunidad de Madrid,40.494962,-3.716057,15,,,,,,True,True
2020-03-01,ESP,Spain,Illes Balears,39.613452,2.956607,1,,,,,,True,True
2020-03-01,ESP,Spain,País Vasco,43.032149,-2.62166,9,,,,,,True,True
2020-03-01,ESP,Spain,Principado de Asturias,43.292312,-5.992988,1,,,,,,True,True
2020-03-01,CHE,Switzerland,Aargau,47.410914,8.159107,1,0,0,1,0,0,False,False
2020-03-01,CHE,Switzerland,Basel City,47.561925,7.592768,1,0,0,1,0,0,False,False
2020-03-01,CHE,Switzerland,Basel Country,47.441812,7.7644,2,0,0,2,0,0,False,False
2020-03-01,CHE,Switzerland,Bern,46.825006,7.626925,2,0,0,2,0,0,False,False
2020-03-01,CHE,Switzerland,Fribourg,46.710334,7.09922,1,0,0,1,0,0,False,False
2020-03-01,CHE,Switzerland,Geneva,46.217114,6.131255,7,0,0,7,3,0,False,False
2020-03-01,CHE,Switzerland,Ticino,46.297963,8.808447,1,0,0,1,0,0,False,False
2020-03-01,CHE,Switzerland,Valais,46.211633,7.611267,2,0,0,2,4,0,False,False
2020-03-01,CHE,Switzerland,Zurich,47.417407,8.655988,2,0,0,2,0,0,False,False
2020-03-01,GBR,United Kingdom,East of England,52.248898,0.548756,3,,,,,,False,True
2020-03-01,GBR,United Kingdom,England,,,9,,,,,,False,True
2020-03-01,GBR,United Kingdom,London,51.497136,-0.100571,4,,,,,,False,True
2020-03-01,GBR,United Kingdom,Midlands,52.718351,-1.45667,1,,,,,,False,True
2020-03-01,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,4,,,,,,False,True
2020-03-01,GBR,United Kingdom,North West,53.524488,-2.333125,1,,,,,,False,True
2020-03-01,GBR,United Kingdom,Northern Ireland,54.787715,-6.492314,1,,,,,,False,True
2020-03-01,GBR,United Kingdom,South East,51.291417,-0.521902,9,,,,,,False,True
2020-03-01,GBR,United Kingdom,South West,51.239761,-2.54375,2,,,,,,False,True
2020-03-01,GBR,United Kingdom,Wales,52.302413,-3.738347,1,,,,,,False,True
2020-03-02,FRA,France,Auvergne-Rhône-Alpes,45.283026,4.624017,37,0,0,37,0,0,True,True
2020-03-02,FRA,France,Bourgogne-Franche-Comté,47.234197,4.806917,8,0,0,8,0,0,True,True
2020-03-02,FRA,France,Bretagne,48.181767,-2.840778,13,0,0,13,0,0,True,True
2020-03-02,FRA,France,Grand Est,48.688738,5.613275,12,0,0,12,0,0,True,True
2020-03-02,FRA,France,Hauts-de-France,49.96966,2.770434,45,0,0,45,0,0,True,True
