Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-02-05,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-05,CAN,NA,Canada,62.393303,-96.818145,5,,,5,,,False,False
2020-02-05,CHN,AS,China,34.668138,104.165802,24320,492,,23828,,,False,False
2020-02-05,FRA,EU,France,46.232193,2.209667,6,0,0,6,6,0,True,True
2020-02-05,IND,AS,India,21.125681,82.794998,3,,,3,,,False,False
2020-02-05,JPN,AS,Japan,34.886306,134.379711,25,,,25,,,False,False
2020-02-05,MYS,AS,Malaysia,4.109319,109.455475,10,,,10,,,False,False
2020-02-05,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-05,PHL,AS,Philippines,12.881958,121.766541,2,1,,1,,,False,False
2020-02-05,SGP,AS,Singapore,1.364917,103.822872,24,,,24,,,False,False
2020-02-05,KOR,AS,South Korea,35.901696,127.735889,18,,,18,,,False,False
2020-02-05,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-05,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-05,TWN,AS,Taiwan,21.901806,121.471,11,,,11,,,False,False
2020-02-05,THA,AS,Thailand,13.036597,101.492515,25,,,25,,,False,False
2020-02-05,ARE,AS,United Arab Emirates,24.358745,53.982494,5,,,5,,,False,False
2020-02-05,USA,NA,United States of America,36.966428,-95.844032,11,,,11,,,False,False
2020-02-05,VNM,AS,Vietnam,15.974222,105.806431,10,,,10,,,False,False
2020-02-06,AUS,OC,Australia,-26.853388,133.275155,13,,,13,,,False,False
2020-02-06,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-06,CAN,NA,Canada,62.393303,-96.818145,5,,,5,,,False,False
2020-02-06,CHN,AS,China,34.668138,104.165802,28047,564,,27483,,,False,False
2020-02-06,FRA,EU,France,46.232193,2.209667,6,0,0,6,6,0,True,True
2020-02-06,IND,AS,India,21.125681,82.794998,3,,,3,,,False,False
2020-02-06,JPN,AS,Japan,34.886306,134.379711,25,,,25,,,False,False
2020-02-06,MYS,AS,Malaysia,4.109319,109.455475,12,,,12,,,False,False
2020-02-06,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-06,PHL,AS,Philippines,12.881958,121.766541,3,1,,2,,,False,False
2020-02-06,SGP,AS,Singapore,1.364917,103.822872,28,,,28,,,False,False
2020-02-06,KOR,AS,South Korea,35.901696,127.735889,23,,,23,,,False,False
2020-02-06,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-06,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-06,TWN,AS,Taiwan,21.901806,121.471,11,,,11,,,False,False
2020-02-06,THA,AS,Thailand,13.036597,101.492515,25,,,25,,,False,False
2020-02-06,ARE,AS,United Arab Emirates,24.358745,53.982494,5,,,5,,,False,False
2020-02-06,GBR,EU,United Kingdom,54.633221,-3.432277,3,,,3,,,False,True
2020-02-06,USA,NA,United States of America,36.966428,-95.844032,12,,,12,,,False,False
